id,city,user_id,show_menstruation,preferred_language,missed_days_count,missed_days_last_incremented_on
11,Bratislava,14,True,sk,0,
12,Žilina,15,True,sk,0,
13,Trenčín,16,True,sk,0,
14,Žilina,17,True,sk,0,
15,Žilina,18,True,sk,0,
16,Košice,19,True,sk,0,
17,Prešov,20,True,sk,0,
18,Bratislava,21,True,sk,0,
19,Prešov,22,True,sk,0,
20,Prešov,23,True,sk,0,
21,Prešov,24,True,sk,0,
22,Bratislava,25,True,sk,0,
23,Trenčín,26,True,sk,0,
24,Prešov,27,True,sk,0,
25,Prešov,28,True,sk,0,
26,Bratislava,29,True,sk,0,
27,Prešov,30,True,sk,0,
28,Banská Bystrica,31,True,sk,0,
29,Trenčín,32,True,sk,0,
30,Košice,33,True,sk,0,
